,職業名,awareness_score,awareness_label,recommendable,label_note
2,洋菓子製造、パティシエ,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
11,ハム・ソーセージ・ベーコン製造,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
12,ワイン製造,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
13,ビール製造,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
15,野菜つけ物製造,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
17,ガラス食器製造,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
18,プラスチック成形,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
21,土木設計技術者,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
25,大工,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
26,型枠大工,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
27,鉄筋工,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
28,鉄骨工,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
32,潜水士,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
33,さく井工/ボーリング工,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
41,建築塗装工,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
48,送電線工事,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
49,解体工,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
51,銀行支店長,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
53,スーパー店長,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
54,スーパーレジ係,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
61,医薬情報担当者（MR）,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
66,書店員,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
70,ペットショップ店員,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
71,衣料品販売,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
72,検針員,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
75,駅構内売店店員,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
80,ファイナンシャル・プランナー,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
89,弁理士,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
90,税理士,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
91,不動産鑑定士,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
93,ビル施設管理,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
94,駐車場管理,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
97,西洋料理調理人（コック）,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
105,バーテンダー,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
111,キャディ,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
115,エステティシャン,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
116,メイクアップアーティスト,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
